"24","PEARL PLAZA                   ","8101 PEARL PLAZA BLDG. PEARL DRIVE ","PASIG CITY          ","08012014","0","","","",""
"25","MAKATI BEL AIR                ","GF MAKATI BEL AIR APARTMENT        ","MAKATI CITY         ","07202014","03182015","","","",""
"27","TOMAS MORATO                  ","TOMAS MORATO BRGY. LAGING HANDA   ","QUEZON CITY         ","08012014","0","","","",""
"28","BF HOMES                      ","GF UNIT 1 CMSR BLDG. #88 PRESIDENTS","PARANAQUE CITY      ","07262014","0","","","",""
"29","UP TECHNO HUB                 ","GF SPACE132 CUP TECHNOHUB COMMON. ","QUEZON CITY         ","08012014","0","","","",""
"31","ANONAS LRT CITY CENTER        ","LGF UNIT7 ANONAS LRT CITY CENTER   ","QUEZON CITY         ","08012014","0","","","",""
"32","VALDERRAMA BUILDING           ","G/F VALDERRAMA BUILDING ESTEBAN   ","MAKATI CITY         ","11242014","0","","","",""
"34","TUSCANY                       ","GF TUSCANY PRIVATE ESTATE UPPER    ","TAGUIG CITY         ","07062014","0","","","",""
"35","GDC PAVILION                  ","GF UNIT L1D101GREENFILED DISTRICT ","MANDALUYONG CITY    ","07132014","0","","","",""
"36","500 SHAW ZENTRUM              ","GF-14 SHAW ZENTRUM BLDG. SHAW BLVD ","MANADALUYONG CITY   ","08012014","0","","","",""
"37","DELA ROSA CARPARK 3           ","3RDFLR.DELA ROSA CARPARK1 BLDG.    ","MAKATI CITY         ","07042014","0","","","",""
"38","LEE GARDENS                   ","LEE GARDENS COMM.CENTERSHAW BLVD. ","MANDALUYONG CITY    ","08012014","0","","","",""
"39","FAIRVIEW TERRACES             ","FAIRVIEW TERRACES QUIRINO HWAY    ","QUEZON CITY         ","08012014","0","","","",""
"40","LUMINA POINT MALL             ","E.AGUINALDO HWAY COR. NUENO AVE.   ","CAVITE              ","07082014","0","","","",""
"41","ARLINGTON                     ","GF ARLINGTON MEM.CHAPEL & CREMATORY","QUEZON CITY         ","08012014","0","","","",""
"42","BONIFACIO ONE TECH            ","BONI ONE TECH TOWER RIZAL DRIVE COR","TAGUIG CITY         ","07062014","0","","","",""
"43","GILMORE IT CENTER             ","GILMORE IT CENTER GILMORE AVENUE  ","QUEZON CITY         ","08012014","0","","","",""
"44","ONE CENTRAL                   ","GF ONE CENTRAL BLDG. HV DELA COSTA ","MAKATI CITY         ","07202014","0","","","",""
"45","BENEFICIAL LIFE               ","GF BENEFICIAL LIFE BLDG. SALCEDO ST","MAKATI CITY         ","07062014","0","","","",""
"67","VALERO PLAZA                  ","GF VALERO PLAZA 124 VALERO ST.     ","MAKATI CITY         ","09042014","0","","","",""
"68","ACM BLDG.                     ","ACM BLDG.PEDRO GIL ST. COR. LEON   ","MANILA              ","0","0","","","",""
"69","GRAMERCY RESIDENCES           ","G/F UNIT 04THE GRAMERCY RESIDENCES","MAKATI CITY         ","10072014","03182015","","","",""
"70","MILLENNIUM PLAZA              ","GF MILLENNIUM PLAZA CONDOMINIUM    ","MAKATI CITY         ","0","0","","","",""
"71","MARKET!MARKET!                ","SPACE FFV46FIESTA MARKET  PASEO  ","TAGUIG CITY         ","02282015","0","","","",""
"72","TRADE AND FINANCIAL TOWER     ","7TH AVENUE CORNER 32ND STREET     ","TAGUIG CITY         ","09122014","0","","","",""
